entry_time,exit_time,symbol,side,entry_price,exit_price,quantity,pnl,pnl_pct,fees,rr,exit_reason
2024-11-01 03:00:00,2024-11-01 13:35:00,BTCUSDT,buy,69540.6,70823.5,0.09136385032116105,109.51617018015419,1.7226810944016961,5.129672472291107,2.3183308409274677,unknown
2024-11-01 14:00:00,2024-11-01 15:35:00,BTCUSDT,buy,71066.6,70062.4,0.05301915352302174,-57.731362297696094,-1.5312741268090684,2.9930203063669314,0.0,unknown
2024-11-01 20:00:00,2024-11-03 02:10:00,BTCUSDT,buy,69276.2,68683.3,0.10477913153505025,-70.79671801522025,-0.9747511137904447,5.782115608687674,0.0,unknown
2024-11-03 03:30:00,2024-11-03 14:25:00,BTCUSDT,buy,68274.4,67701.7,0.10664034424398428,-69.77325290213552,-0.9577430449978578,5.800220131015784,0.0,unknown
2024-11-03 19:35:00,2024-11-04 17:00:00,BTCUSDT,buy,68645.0,67536.3,0.0499899166756871,-59.50844015611137,-1.73311232652992,2.7230811698203485,0.0,unknown
2024-11-04 17:20:00,2024-11-04 21:35:00,BTCUSDT,buy,67711.8,67070.0,0.08581551029005768,-62.01622027715803,-1.0666320081963045,4.626551984036559,0.0,unknown
2024-11-04 22:40:00,2024-11-05 14:30:00,BTCUSDT,buy,67746.6,69741.4,0.05380702035394269,102.89556102012995,2.8210426949616867,2.959119259029613,2.177468886026402,unknown
2024-11-05 14:35:00,2024-11-06 02:15:00,BTCUSDT,buy,69761.8,71960.8,0.045607036204789585,96.41175198798001,3.0284465532820692,2.585411076504956,2.014306299594478,unknown
2024-11-06 02:15:00,2024-11-06 03:40:00,BTCUSDT,buy,71960.8,74394.8,0.04191281548764706,98.33529590316584,3.258412606961082,2.4536619420901196,2.0300770702561173,unknown
2024-11-06 05:50:00,2024-11-06 07:40:00,BTCUSDT,buy,74786.1,73680.2,0.05253819159084952,-62.78208127699056,-1.5969053273294775,3.1200650138327033,0.0,unknown
2024-11-06 08:50:00,2024-11-06 18:50:00,BTCUSDT,buy,73463.2,75153.7,0.0634508605915225,101.60576628899689,2.1784643813816693,3.7719395002833096,2.120992143766797,unknown
2024-11-06 18:50:00,2024-11-07 06:10:00,BTCUSDT,buy,75153.7,74465.1,0.08247205530978725,-64.19388379893019,-1.0350848063868465,4.935752522814182,0.0,unknown
